chainId,dexId,baseToken,pairAddress,liquidity,ccxt_ticker
bsc,biswap,MATIC,0x3B09e13Ca9189FBD6a196cfE5FbD477C885afBf3,"{""usd"":1335221.3544413468,""base"":860149,""quote"":2607.13}",MATIC
bsc,nomiswap,SOL,0x5C551CA8F00E09888F0FD57C7f91CB420ad29999,"{""usd"":79806.39491285085,""base"":3039.17,""quote"":39903}",SOL
avalanchedfk,defikingdoms,BTC.b,0x00BD81c9bAc29a3b6aea7ABc92d2C9a3366Bb4dD,"{""usd"":261478,""base"":7.775,""quote"":1496239}",BTC
bsc,apeswap,LTC,0x0F12362c017Fe5101c7bBa09390f1CB729f5B318,"{""usd"":194172.78725788736,""base"":1326.73,""quote"":378.98}",LTC
astar,arthswap,WETH,0x87988EbDE7E661F44eB3a586C5E0cEAB533a2d9C,"{""usd"":1065452,""base"":430.1,""quote"":13518145}",ETH
bsc,babyswap,SOL,0xAe08C9D357731FD8d25681dE753551BE14C00405,"{""usd"":190786.86673015272,""base"":7275.61,""quote"":95393}",SOL
bsc,apeswap,MATIC,0x29A4A3D77c010CE100A45831BF7e798f0f0B325D,"{""usd"":272376.8408561702,""base"":175169,""quote"":531.57}",MATIC
fantom,beethovenx,MATIC,0xf941ea85b73fd24a615e9ee17eb42946981ed4ee0001000000000000000005e9-0x40DF1Ae6074C35047BFF66675488Aa2f9f6384F3-0xD67de0e0a0Fd7b15dC8348Bb9BE742F3c5850454,"{""usd"":59904,""base"":38135,""quote"":116.6}",MATIC
oec,cherryswap,BTCK,0xC606A9c809E56276056F9aa79fD2cEc633b69Cbd,"{""usd"":143982.34212280126,""base"":4.29,""quote"":57.8}",BTC
ethereum,balancer,MATIC,0xa02e4b3d18d4e6b8d18ac421fbc3dfff8933c40a00020000000000000000004b-0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0-0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"{""usd"":65284,""base"":41946,""quote"":26.14}",MATIC
ethereum,balancer,CRV,0x769432a08426d25f8f99a1af16db23ce41cad784000100000000000000000304-0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2-0xD533a949740bb3306d119CC777fa900bA034cd52,"{""usd"":104569,""base"":97741,""quote"":41.97}",CRV
ethereum,balancer,MKR,0xaac98ee71d4f8a156b6abaa6844cdb7789d086ce00020000000000000000001b-0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2-0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,"{""usd"":302877,""base"":348,""quote"":97.13}",MKR
ethereum,uniswap,EURT,0x07f3D316630719F4Fc69c152F397c150f0831071,"{""usd"":90772,""base"":34109,""quote"":54791}",EUR
bsc,0x738B815eaDD06E0041b52B0C9d4F0d0D277B24bA,BTCB,0x37924e3D522f936422587c7a03EB7773583258cd,"{""usd"":140940.81312285396,""base"":4.16,""quote"":63687}",BTC
ethereum,uniswap,RLC,0x56Ea002B411FD5887E55329852D5777EcB170713,"{""usd"":510228,""base"":445265,""quote"":0.6011}",RLC
ethereum,defiswap,COMP,0x59F7a66a2fBCaf203ceE71359B51142238f85B78,"{""usd"":55462,""base"":840,""quote"":22.16}",COMP
ethereum,uniswap,BLZ,0x5fa9569B0Ed6Aa01e234468e6A15B77988b950dF,"{""usd"":319733,""base"":3037580,""quote"":159866}",BLZ
ethereum,defiswap,WETH,0x60A26d69263eF43e9a68964bA141263F19D71D51,"{""usd"":114831,""base"":45.88,""quote"":57416}",ETH
ethereum,uniswap,ankrETH,0x6147805e1011417B93e5D693424a62A70d09d0E5,"{""usd"":124489,""base"":48.13,""quote"":49.8}",ETH
ethereum,0xBAe5dc9B19004883d0377419FeF3c2C8832d7d7B,WETH,0x6B0cc136F7BABd971B5dECd21690BE65718990E2,"{""usd"":95992,""base"":38.37,""quote"":47996}",ETH
ethereum,0x0388C1E0f210AbAe597B7DE712B9510C6C36C857,TOMOE,0x7885e359a085372EbCF1ed6829402f149D02c600,"{""usd"":136882,""base"":253036,""quote"":54.8}",TOMO
arbitrum,balancer,WETH,0x64541216bafffeec8ea535bb71fbc927831d0595000100000000000000000002-0x82aF49447D8a07e3bd95BD0d56f35241523fBab1-0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,"{""usd"":1818398,""base"":728.1,""quote"":909199}",ETH
polygon,kyberswap,stMATIC,0xa40CAc1B04D7491BDFb42ccAC97dff25e0EFB09e,"{""usd"":520778.59501,""base"":564389,""quote"":260389}",MATIC
bsc,mdex,WBNB,0x09CB618bf5eF305FadfD2C8fc0C26EeCf8c6D5fd,"{""usd"":8888769.964323493,""base"":17352,""quote"":4444385}",BNB
bsc,pancakeswap,XRP,0x03F18135c44C64ebFdCBad8297fe5bDafdBbdd86,"{""usd"":6772369.336072084,""base"":10126293,""quote"":13223}",XRP
arbitrum,uniswap,WBTC,0x2f5e87C9312fa29aed5c179E456625D79015299c,"{""usd"":2004095,""base"":78.99,""quote"":543.7}",BTC
bsc,nomiswap,WBNB,0xe2Bbf54Dc0ccDD0Cf6270f2aF2f62FF79903Bb27,"{""usd"":1600203.7045841264,""base"":3127.02,""quote"":800102}",BNB
aptos,aux,SOL,aux-0xdd89c0e695df0692205912fb69fc290418bed0dbe6e4573d744a6d5e6bab6c13-coin-t-0x5e156f1207d0ebfa19a9eeff00d62a282278fb8719f4fab3a586a0a2c0fffbea-coin-t,"{""usd"":1446248,""base"":55071,""quote"":723124}",SOL
polygon,uniswap,LINK,0x3e31AB7f37c048FC6574189135D108df80F0ea26,"{""usd"":541129,""base"":81380,""quote"":69.47}",LINK
polygon,kyberswap,WMATIC,0x50FEEdF7fB2F511112287091819F21eb0F3Ce498,"{""usd"":114242.281172,""base"":346809,""quote"":57121}",MATIC
fantom,spookyswap,MATIC,0x7051C6F0C1F1437498505521a3bD949654923fE1,"{""usd"":274132.8052586336,""base"":175510,""quote"":630648}",MATIC
gnosischain,swapr,WETH,0x1865d5445010E0baf8Be2eB410d3Eae4A68683c2,"{""usd"":2623850,""base"":1052,""quote"":1314651}",ETH
polygon,uniswap,SAND,0xDe92E7fBe021344BA02D9225792d219d3A2dDd58,"{""usd"":85328,""base"":142129,""quote"":34080}",SAND
bsc,pancakeswap,ADA,0xBA51D1AB95756ca4eaB8737eCD450cd8F05384cF,"{""usd"":593487.7204736511,""base"":1093536,""quote"":1159.06}",ADA
bsc,0x3265CdE5843e02E35c45C4b9352d3C1c4a542Ff4,WBNB,0xe2266166B8d1b0961A908E1276e7FeA9e7D64b56,"{""usd"":66630.94581997277,""base"":130.01,""quote"":33315}",BNB
optimism,uniswap,vFTM,0xAeC0Bf409BB28eFe308108D400034650C4d9eC75,"{""usd"":390779,""base"":897311,""quote"":196219}",FTM
avalanche,traderjoe,BTC.b,0x2fD81391E30805Cc7F2Ec827013ce86dc591B806,"{""usd"":1647602,""base"":49.09,""quote"":71478}",BTC
osmosis,osmosis,stATOM,803,"{""usd"":7883634,""base"":378565,""quote"":394677}",ATOM
ethereum,uniswap,TRX,0x7c8699ECb6d16010F91372f6F3103Fe5aac78810,"{""usd"":439157,""base"":4279759,""quote"":175.3}",TRX
ethereum,uniswap,NMR,0xB784CED6994c928170B417BBd052A096c6fB17E2,"{""usd"":88779,""base"":3496,""quote"":35.45}",NMR
ethereum,uniswap,RENA,0xbC2C5392b0B841832bEC8b9C30747BADdA7b70ca,"{""usd"":553776,""base"":4225188,""quote"":221.1}",REN
bsc,safemoonswap,WBNB,0x8ebac098F23bd1951715Ecba4F21f06cFa61D9f9,"{""usd"":50583.43300111011,""base"":98.44,""quote"":25292}",BNB
bsc,apeswap,ETH,0x154c7293b0a705aA5723e698514514CBB5a19238,"{""usd"":64882.881273720435,""base"":25.51,""quote"":1027627}",ETH
bsc,pancakeswap,WMATIC,0xfE76f3B2161103A59B92a0f9Ffdae7CadC2a6d8C,"{""usd"":1418337.4952956182,""base"":912635,""quote"":709169}",MATIC
fantom,spiritswap,WFTM,0x51Eb93ECfEFFbB2f6fE6106c4491B5a0B944E8bd,"{""usd"":153656.928633096,""base"":352547,""quote"":76828}",FTM
optimism,kyberswap,wstETH,0x5fC53f707C7aAcD460A1cD564C06e0F07610fCb7,"{""usd"":540358.679008,""base"":163.44,""quote"":270179}",ETH
bsc,swych,WBNB,0x180847F66b604cFeDec47C7105762bE0C0123d66,"{""usd"":894785.463649938,""base"":1748.27,""quote"":447393}",BNB
bsc,pancakeswap,CHR,0x6045931E511EF7e53A4A817F971e0CA28c758809,"{""usd"":1108503.081220409,""base"":5010950,""quote"":554252}",CHR
optimism,uniswap,vDOGE,0x7a5D3DA4658e9315E7d385b8A25D92Cece6e6fab,"{""usd"":274773,""base"":2296466,""quote"":111512}",DOGE
